Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,CTR,CPC,SQL_format
978,Alpha Innovations,Influencer,Men 18-24,30 days,Facebook,0.08,11835,4.1,Miami,German,275,2369,8,Fashionistas,05-09-2021,3.61%,78.23,"(978,'Alpha Innovations','Influencer','Men 18-24','30 days','Facebook',0.08,11835,4.1,'Miami','German',275,2369,8,'Fashionistas','2021-09-05',0.0361237631537616,78.2304347826087)"
979,Innovate Industries,Display,Women 35-44,45 days,Instagram,0.09,12406,4.42,Chicago,Spanish,508,9319,6,Tech Enthusiasts,06-09-2021,11.61%,43.04,"(979,'Innovate Industries','Display','Women 35-44','45 days','Instagram',0.09,12406,4.42,'Chicago','Spanish',508,9319,6,'Tech Enthusiasts','2021-09-06',0.116082735331363,43.0363636363636)"
980,Innovate Industries,Influencer,All Ages,30 days,Facebook,0.05,7650,7.29,Miami,German,417,7416,4,Fashionistas,07-09-2021,5.45%,24.42,"(980,'Innovate Industries','Influencer','All Ages','30 days','Facebook',0.05,7650,7.29,'Miami','German',417,7416,4,'Fashionistas','2021-09-07',0.0545122867260436,24.4212598425197)"
981,Innovate Industries,Influencer,Women 35-44,30 days,Facebook,0.13,12966,5.72,New York,German,645,4626,9,Fashionistas,08-09-2021,5.62%,18.35,"(981,'Innovate Industries','Influencer','Women 35-44','30 days','Facebook',0.13,12966,5.72,'New York','German',645,4626,9,'Fashionistas','2021-09-08',0.0562297734627832,18.3453237410072)"
982,DataTech Solutions,Social Media,Women 35-44,15 days,Facebook,0.08,8540,7.02,Houston,Spanish,893,6718,9,Tech Enthusiasts,09-09-2021,13.94%,20.1,"(982,'DataTech Solutions','Social Media','Women 35-44','15 days','Facebook',0.08,8540,7.02,'Houston','Spanish',893,6718,9,'Tech Enthusiasts','2021-09-09',0.139429312581064,20.1023255813953)"
983,DataTech Solutions,Display,Men 25-34,30 days,Google Ads,0.13,8376,2.56,New York,Mandarin,667,2519,9,Foodies,10-09-2021,13.29%,9.56,"(983,'DataTech Solutions','Display','Men 25-34','30 days','Google Ads',0.13,8376,2.56,'New York','Mandarin',667,2519,9,'Foodies','2021-09-10',0.132926466210182,9.56326987681971)"
984,Alpha Innovations,Social Media,Women 35-44,45 days,Instagram,0.09,9449,2.83,Houston,French,271,2500,9,Health & Wellness,11-09-2021,26.48%,12.56,"(984,'Alpha Innovations','Social Media','Women 35-44','45 days','Instagram',0.09,9449,2.83,'Houston','French',271,2500,9,'Health & Wellness','2021-09-11',0.264787614132592,12.5577211394303)"
985,DataTech Solutions,Search,Men 25-34,30 days,Instagram,0.09,16313,7.6,Houston,English,218,7104,5,Outdoor Adventurers,12-09-2021,10.84%,34.87,"(985,'DataTech Solutions','Search','Men 25-34','30 days','Instagram',0.09,16313,7.6,'Houston','English',218,7104,5,'Outdoor Adventurers','2021-09-12',0.1084,34.8671586715867)"
986,DataTech Solutions,Social Media,All Ages,45 days,Email,0.06,5879,2.08,Miami,English,744,9472,5,Tech Enthusiasts,13-09-2021,3.07%,74.83,"(986,'DataTech Solutions','Social Media','All Ages','45 days','Email',0.06,5879,2.08,'Miami','English',744,9472,5,'Tech Enthusiasts','2021-09-13',0.0306869369369369,74.8302752293578)"
987,Innovate Industries,Email,Men 25-34,30 days,Google Ads,0.14,19480,4.3,Houston,English,346,2067,2,Outdoor Adventurers,14-09-2021,7.85%,7.9,"(987,'Innovate Industries','Email','Men 25-34','30 days','Google Ads',0.14,19480,4.3,'Houston','English',346,2067,2,'Outdoor Adventurers','2021-09-14',0.0785472972972973,7.90188172043011)"
988,DataTech Solutions,Display,Men 18-24,30 days,Google Ads,0.12,7057,6.29,Miami,Mandarin,423,3670,6,Tech Enthusiasts,15-09-2021,16.74%,56.3,"(988,'DataTech Solutions','Display','Men 18-24','30 days','Google Ads',0.12,7057,6.29,'Miami','Mandarin',423,3670,6,'Tech Enthusiasts','2021-09-15',0.167392356071601,56.3005780346821)"
989,Alpha Innovations,Search,Men 18-24,45 days,Email,0.05,11252,3.06,Miami,Spanish,254,7896,4,Health & Wellness,16-09-2021,11.53%,16.68,"(989,'Alpha Innovations','Search','Men 18-24','45 days','Email',0.05,11252,3.06,'Miami','Spanish',254,7896,4,'Health & Wellness','2021-09-16',0.115258855585831,16.6832151300236)"
990,NexGen Systems,Search,Men 25-34,45 days,Email,0.15,5524,6.85,Chicago,German,769,2472,5,Foodies,17-09-2021,3.22%,44.3,"(990,'NexGen Systems','Search','Men 25-34','45 days','Email',0.15,5524,6.85,'Chicago','German',769,2472,5,'Foodies','2021-09-17',0.0321681864235056,44.2992125984252)"
991,Alpha Innovations,Social Media,Women 35-44,60 days,Website,0.14,7286,7.88,New York,Mandarin,813,6052,10,Tech Enthusiasts,18-09-2021,31.11%,7.18,"(991,'Alpha Innovations','Social Media','Women 35-44','60 days','Website',0.14,7286,7.88,'New York','Mandarin',813,6052,10,'Tech Enthusiasts','2021-09-18',0.311084142394822,7.18335500650195)"
992,Alpha Innovations,Search,Women 35-44,45 days,Email,0.04,5825,7.61,Los Angeles,Mandarin,270,7351,3,Outdoor Adventurers,19-09-2021,13.43%,8.96,"(992,'Alpha Innovations','Search','Women 35-44','45 days','Email',0.04,5825,7.61,'Los Angeles','Mandarin',270,7351,3,'Outdoor Adventurers','2021-09-19',0.13433575677462,8.96186961869619)"
993,Innovate Industries,Email,Women 35-44,15 days,Instagram,0.06,18805,2.96,Chicago,Mandarin,805,9184,4,Foodies,20-09-2021,3.67%,21.57,"(993,'Innovate Industries','Email','Women 35-44','15 days','Instagram',0.06,18805,2.96,'Chicago','Mandarin',805,9184,4,'Foodies','2021-09-20',0.0367296966399129,21.5740740740741)"
994,TechCorp,Influencer,Men 25-34,15 days,YouTube,0.13,11366,7.68,Chicago,English,348,9167,1,Foodies,21-09-2021,8.77%,23.36,"(994,'TechCorp','Influencer','Men 25-34','15 days','YouTube',0.13,11366,7.68,'Chicago','English',348,9167,1,'Foodies','2021-09-21',0.0876524390243902,23.360248447205)"
995,TechCorp,Email,Women 25-34,30 days,YouTube,0.12,13546,2.66,Chicago,French,649,5014,4,Outdoor Adventurers,22-09-2021,3.80%,32.66,"(995,'TechCorp','Email','Women 25-34','30 days','YouTube',0.12,13546,2.66,'Chicago','French',649,5014,4,'Outdoor Adventurers','2021-09-22',0.0379622559179666,32.6609195402299)"
996,TechCorp,Email,All Ages,15 days,Instagram,0.04,15454,4.93,Miami,German,217,4205,1,Health & Wellness,23-09-2021,12.94%,20.87,"(996,'TechCorp','Email','All Ages','15 days','Instagram',0.04,15454,4.93,'Miami','German',217,4205,1,'Health & Wellness','2021-09-23',0.129437574790586,20.8721109399076)"
997,TechCorp,Influencer,Men 25-34,60 days,YouTube,0.06,7306,5.07,Chicago,English,898,2677,6,Outdoor Adventurers,24-09-2021,5.16%,71.22,"(997,'TechCorp','Influencer','Men 25-34','60 days','YouTube',0.06,7306,5.07,'Chicago','English',898,2677,6,'Outdoor Adventurers','2021-09-24',0.0516052318668252,71.2165898617511)"
998,Innovate Industries,Influencer,Men 18-24,60 days,YouTube,0.15,19289,2.96,New York,Mandarin,584,8542,5,Foodies,25-09-2021,33.55%,8.14,"(998,'Innovate Industries','Influencer','Men 18-24','60 days','YouTube',0.15,19289,2.96,'New York','Mandarin',584,8542,5,'Foodies','2021-09-25',0.335450130743369,8.1358574610245)"
999,Innovate Industries,Display,Men 25-34,15 days,YouTube,0.15,14377,7.86,Chicago,Spanish,327,8692,8,Health & Wellness,26-09-2021,6.84%,33.03,"(999,'Innovate Industries','Display','Men 25-34','15 days','YouTube',0.15,14377,7.86,'Chicago','Spanish',327,8692,8,'Health & Wellness','2021-09-26',0.0683680636853196,33.0291095890411)"
1000,DataTech Solutions,Search,Women 35-44,30 days,Google Ads,0.04,5256,5.38,Chicago,German,795,3850,8,Outdoor Adventurers,27-09-2021,3.76%,43.97,"(1000,'DataTech Solutions','Search','Women 35-44','30 days','Google Ads',0.04,5256,5.38,'Chicago','German',795,3850,8,'Outdoor Adventurers','2021-09-27',0.0376208007363093,43.9663608562691)"
1001,TechCorp,Display,Men 18-24,30 days,YouTube,0.14,8237,6.12,New York,Spanish,686,2889,4,Outdoor Adventurers,28-09-2021,20.65%,6.61,"(1001,'TechCorp','Display','Men 18-24','30 days','YouTube',0.14,8237,6.12,'New York','Spanish',686,2889,4,'Outdoor Adventurers','2021-09-28',0.206493506493507,6.61132075471698)"
1002,Alpha Innovations,Email,Women 35-44,15 days,YouTube,0.12,6864,5.77,New York,French,522,5812,3,Outdoor Adventurers,29-09-2021,23.75%,12.01,"(1002,'Alpha Innovations','Email','Women 35-44','15 days','YouTube',0.12,6864,5.77,'New York','French',522,5812,3,'Outdoor Adventurers','2021-09-29',0.237452405676705,12.0072886297376)"
1003,DataTech Solutions,Search,Men 25-34,15 days,Facebook,0.14,11053,3.44,Houston,German,989,4891,9,Fashionistas,30-09-2021,8.98%,13.15,"(1003,'DataTech Solutions','Search','Men 25-34','15 days','Facebook',0.14,11053,3.44,'Houston','German',989,4891,9,'Fashionistas','2021-09-30',0.0898141775636614,13.1494252873563)"
1004,DataTech Solutions,Search,Men 18-24,15 days,Google Ads,0.14,9957,4.52,Miami,Mandarin,323,4469,10,Foodies,01-10-2021,20.22%,11.18,"(1004,'DataTech Solutions','Search','Men 18-24','15 days','Google Ads',0.14,9957,4.52,'Miami','Mandarin',323,4469,10,'Foodies','2021-10-01',0.202208137395216,11.1759352881699)"
1005,NexGen Systems,Influencer,Men 25-34,30 days,Website,0.03,6049,6.34,Houston,Mandarin,189,3005,9,Health & Wellness,02-10-2021,7.23%,30.83,"(1005,'NexGen Systems','Influencer','Men 25-34','30 days','Website',0.03,6049,6.34,'Houston','Mandarin',189,3005,9,'Health & Wellness','2021-10-02',0.0722756768852092,30.8266253869969)"
1006,Innovate Industries,Influencer,Women 35-44,45 days,Google Ads,0.12,7897,4.78,Houston,Spanish,598,5840,2,Tech Enthusiasts,03-10-2021,6.29%,32.01,"(1006,'Innovate Industries','Influencer','Women 35-44','45 days','Google Ads',0.12,7897,4.78,'Houston','Spanish',598,5840,2,'Tech Enthusiasts','2021-10-03',0.0628951747088186,32.005291005291)"
1007,NexGen Systems,Influencer,Men 18-24,30 days,Instagram,0.03,10589,6.2,Chicago,Spanish,808,4524,5,Tech Enthusiasts,04-10-2021,10.24%,13.21,"(1007,'NexGen Systems','Influencer','Men 18-24','30 days','Instagram',0.03,10589,6.2,'Chicago','Spanish',808,4524,5,'Tech Enthusiasts','2021-10-04',0.102397260273973,13.2056856187291)"
1008,NexGen Systems,Email,Women 25-34,15 days,Email,0.06,19957,6.6,Chicago,English,800,4302,3,Outdoor Adventurers,05-10-2021,17.86%,13.11,"(1008,'NexGen Systems','Email','Women 25-34','15 days','Email',0.06,19957,6.6,'Chicago','English',800,4302,3,'Outdoor Adventurers','2021-10-05',0.178603006189213,13.105198019802)"
1009,NexGen Systems,Email,All Ages,30 days,Facebook,0.14,14623,7.11,Los Angeles,Mandarin,114,1591,5,Health & Wellness,06-10-2021,18.60%,24.95,"(1009,'NexGen Systems','Email','All Ages','30 days','Facebook',0.14,14623,7.11,'Los Angeles','Mandarin',114,1591,5,'Health & Wellness','2021-10-06',0.185960018596002,24.94625)"
1010,Innovate Industries,Influencer,Women 35-44,45 days,YouTube,0.07,8864,5.35,New York,English,218,7637,8,Outdoor Adventurers,07-10-2021,7.17%,128.27,"(1010,'Innovate Industries','Influencer','Women 35-44','45 days','YouTube',0.07,8864,5.35,'New York','English',218,7637,8,'Outdoor Adventurers','2021-10-07',0.0716530483972345,128.271929824561)"
1011,Innovate Industries,Influencer,Women 25-34,30 days,Email,0.07,5659,5.55,Los Angeles,French,577,7151,5,Health & Wellness,08-10-2021,2.85%,40.66,"(1011,'Innovate Industries','Influencer','Women 25-34','30 days','Email',0.07,5659,5.55,'Los Angeles','French',577,7151,5,'Health & Wellness','2021-10-08',0.0285452402775959,40.6605504587156)"
1012,Alpha Innovations,Display,All Ages,45 days,YouTube,0.13,12389,5.15,Miami,French,983,3271,5,Tech Enthusiasts,09-10-2021,8.07%,9.81,"(1012,'Alpha Innovations','Display','All Ages','45 days','YouTube',0.13,12389,5.15,'Miami','French',983,3271,5,'Tech Enthusiasts','2021-10-09',0.0806880156621452,9.80762564991334)"
1013,Innovate Industries,Search,Men 25-34,30 days,Facebook,0.08,10481,3.17,Chicago,Spanish,158,2068,5,Tech Enthusiasts,10-10-2021,30.05%,12.6,"(1013,'Innovate Industries','Search','Men 25-34','30 days','Facebook',0.08,10481,3.17,'Chicago','Spanish',158,2068,5,'Tech Enthusiasts','2021-10-10',0.300519718740446,12.6032553407935)"
1014,Innovate Industries,Influencer,Men 18-24,15 days,Email,0.01,19232,6.32,Los Angeles,Spanish,394,9182,9,Foodies,11-10-2021,7.64%,66.34,"(1014,'Innovate Industries','Influencer','Men 18-24','15 days','Email',0.01,19232,6.32,'Los Angeles','Spanish',394,9182,9,'Foodies','2021-10-11',0.0764023210831721,66.3354430379747)"
1015,Alpha Innovations,Email,All Ages,45 days,YouTube,0.1,11895,7.96,Chicago,German,452,7510,9,Foodies,12-10-2021,4.29%,48.81,"(1015,'Alpha Innovations','Email','All Ages','45 days','YouTube',0.1,11895,7.96,'Chicago','German',452,7510,9,'Foodies','2021-10-12',0.0429100413853191,48.8121827411168)"
1016,DataTech Solutions,Social Media,Women 25-34,15 days,YouTube,0.14,7821,2.47,Houston,Spanish,342,8441,2,Fashionistas,13-10-2021,6.02%,26.32,"(1016,'DataTech Solutions','Social Media','Women 25-34','15 days','YouTube',0.14,7821,2.47,'Houston','Spanish',342,8441,2,'Fashionistas','2021-10-13',0.0601864181091877,26.3163716814159)"
1017,DataTech Solutions,Email,Men 25-34,60 days,YouTube,0.12,11738,2.57,Houston,English,495,8759,7,Fashionistas,14-10-2021,4.05%,22.87,"(1017,'DataTech Solutions','Email','Men 25-34','60 days','YouTube',0.12,11738,2.57,'Houston','English',495,8759,7,'Fashionistas','2021-10-14',0.0405165264779055,22.8684210526316)"
1018,TechCorp,Display,Men 18-24,60 days,Facebook,0.03,14418,3.64,New York,Mandarin,234,5821,2,Fashionistas,15-10-2021,5.65%,23.71,"(1018,'TechCorp','Display','Men 18-24','60 days','Facebook',0.03,14418,3.64,'New York','Mandarin',234,5821,2,'Fashionistas','2021-10-15',0.0565133006050919,23.7131313131313)"
1019,DataTech Solutions,Display,Women 35-44,30 days,Instagram,0.06,17788,2.52,Houston,Mandarin,729,4936,7,Tech Enthusiasts,16-10-2021,4.02%,61.62,"(1019,'DataTech Solutions','Display','Women 35-44','30 days','Instagram',0.06,17788,2.52,'Houston','Mandarin',729,4936,7,'Tech Enthusiasts','2021-10-16',0.0401992784744889,61.6153846153846)"
1020,Alpha Innovations,Influencer,Women 25-34,45 days,Google Ads,0.07,19334,7.01,Miami,French,487,6873,1,Outdoor Adventurers,17-10-2021,14.77%,24.4,"(1020,'Alpha Innovations','Influencer','Women 25-34','45 days','Google Ads',0.07,19334,7.01,'Miami','French',487,6873,1,'Outdoor Adventurers','2021-10-17',0.147690437601297,24.400548696845)"
1021,Alpha Innovations,Display,Women 35-44,15 days,Facebook,0.04,14685,6.88,Miami,Mandarin,327,6024,10,Foodies,18-10-2021,7.09%,39.7,"(1021,'Alpha Innovations','Display','Women 35-44','15 days','Facebook',0.04,14685,6.88,'Miami','Mandarin',327,6024,10,'Foodies','2021-10-18',0.0708569765750036,39.700205338809)"
1022,NexGen Systems,Social Media,All Ages,15 days,Facebook,0.13,16040,6.74,Los Angeles,Spanish,837,7996,9,Tech Enthusiasts,19-10-2021,5.43%,44.91,"(1022,'NexGen Systems','Social Media','All Ages','15 days','Facebook',0.13,16040,6.74,'Los Angeles','Spanish',837,7996,9,'Tech Enthusiasts','2021-10-19',0.0542828685258964,44.9082568807339)"
1023,Alpha Innovations,Search,Men 25-34,45 days,Email,0.1,12268,4.55,Chicago,English,272,1605,5,Fashionistas,20-10-2021,10.47%,19.16,"(1023,'Alpha Innovations','Search','Men 25-34','45 days','Email',0.1,12268,4.55,'Chicago','English',272,1605,5,'Fashionistas','2021-10-20',0.104677338669335,19.1636798088411)"
1024,Innovate Industries,Social Media,Men 25-34,30 days,Email,0.08,8309,5.88,Houston,German,772,4733,10,Health & Wellness,21-10-2021,16.95%,45.1,"(1024,'Innovate Industries','Social Media','Men 25-34','30 days','Email',0.08,8309,5.88,'Houston','German',772,4733,10,'Health & Wellness','2021-10-21',0.169470404984424,45.1029411764706)"
1025,NexGen Systems,Influencer,Men 25-34,45 days,Website,0.09,11797,5.71,Miami,German,611,7630,4,Outdoor Adventurers,22-10-2021,16.31%,10.76,"(1025,'NexGen Systems','Influencer','Men 25-34','45 days','Website',0.09,11797,5.71,'Miami','German',611,7630,4,'Outdoor Adventurers','2021-10-22',0.163110078174519,10.7629533678756)"
1026,Alpha Innovations,Email,Men 18-24,15 days,Google Ads,0.1,7479,3.24,Los Angeles,Mandarin,725,2489,4,Fashionistas,23-10-2021,8.01%,19.31,"(1026,'Alpha Innovations','Email','Men 18-24','15 days','Google Ads',0.1,7479,3.24,'Los Angeles','Mandarin',725,2489,4,'Fashionistas','2021-10-23',0.0800786369593709,19.3076923076923)"
1027,Innovate Industries,Search,Men 25-34,15 days,YouTube,0.13,17003,7.58,New York,Spanish,755,8216,3,Health & Wellness,24-10-2021,29.13%,10.32,"(1027,'Innovate Industries','Search','Men 25-34','15 days','YouTube',0.13,17003,7.58,'New York','Spanish',755,8216,3,'Health & Wellness','2021-10-24',0.291281639212535,10.3158620689655)"
1028,TechCorp,Display,Men 18-24,45 days,YouTube,0.07,10731,7.32,Chicago,English,857,2466,10,Outdoor Adventurers,25-10-2021,9.19%,22.52,"(1028,'TechCorp','Display','Men 18-24','45 days','YouTube',0.07,10731,7.32,'Chicago','English',857,2466,10,'Outdoor Adventurers','2021-10-25',0.0918938656280428,22.5205298013245)"
1029,Innovate Industries,Search,Women 35-44,45 days,Email,0.04,9273,5.02,Houston,English,911,8189,4,Foodies,26-10-2021,34.75%,12.52,"(1029,'Innovate Industries','Search','Women 35-44','45 days','Email',0.04,9273,5.02,'Houston','English',911,8189,4,'Foodies','2021-10-26',0.347526358475264,12.5215869311552)"
1030,Alpha Innovations,Search,Men 25-34,45 days,Email,0.07,15180,4.08,Houston,Spanish,449,8299,10,Foodies,27-10-2021,11.12%,10.18,"(1030,'Alpha Innovations','Search','Men 25-34','45 days','Email',0.07,15180,4.08,'Houston','Spanish',449,8299,10,'Foodies','2021-10-27',0.111246794480401,10.178924259056)"
1031,Alpha Innovations,Display,All Ages,30 days,Instagram,0.13,7471,7.43,Chicago,English,517,8909,1,Health & Wellness,28-10-2021,5.41%,33.81,"(1031,'Alpha Innovations','Display','All Ages','30 days','Instagram',0.13,7471,7.43,'Chicago','English',517,8909,1,'Health & Wellness','2021-10-28',0.0541029039643331,33.8084632516704)"
1032,TechCorp,Influencer,All Ages,15 days,Google Ads,0.02,16533,3.66,Los Angeles,Mandarin,443,8182,6,Outdoor Adventurers,29-10-2021,5.80%,14.45,"(1032,'TechCorp','Influencer','All Ages','15 days','Google Ads',0.02,16533,3.66,'Los Angeles','Mandarin',443,8182,6,'Outdoor Adventurers','2021-10-29',0.0580312044000449,14.4506769825919)"
1033,DataTech Solutions,Influencer,All Ages,15 days,Google Ads,0.06,10500,2.03,Chicago,English,432,8910,5,Fashionistas,30-10-2021,5.41%,37.32,"(1033,'DataTech Solutions','Influencer','All Ages','15 days','Google Ads',0.06,10500,2.03,'Chicago','English',432,8910,5,'Fashionistas','2021-10-30',0.0541432412613053,37.3205417607223)"
1034,TechCorp,Email,Men 25-34,45 days,Website,0.13,13760,5.04,Los Angeles,French,914,3650,6,Fashionistas,31-10-2021,4.85%,24.31,"(1034,'TechCorp','Email','Men 25-34','45 days','Website',0.13,13760,5.04,'Los Angeles','French',914,3650,6,'Fashionistas','2021-10-31',0.0484848484848485,24.3055555555556)"
1035,Alpha Innovations,Influencer,Women 35-44,30 days,Facebook,0.02,7578,2.71,Los Angeles,German,952,6371,6,Outdoor Adventurers,01-11-2021,25.04%,15.05,"(1035,'Alpha Innovations','Influencer','Women 35-44','30 days','Facebook',0.02,7578,2.71,'Los Angeles','German',952,6371,6,'Outdoor Adventurers','2021-11-01',0.25041095890411,15.054704595186)"
1036,DataTech Solutions,Social Media,Women 25-34,45 days,Facebook,0.13,19947,2.99,New York,Spanish,792,1952,10,Fashionistas,02-11-2021,14.94%,7.96,"(1036,'DataTech Solutions','Social Media','Women 25-34','45 days','Facebook',0.13,19947,2.99,'New York','Spanish',792,1952,10,'Fashionistas','2021-11-02',0.149427091508397,7.96008403361345)"
1037,NexGen Systems,Display,Men 18-24,30 days,Email,0.06,15339,4.61,Los Angeles,Mandarin,998,8871,4,Health & Wellness,03-11-2021,40.57%,25.19,"(1037,'NexGen Systems','Display','Men 18-24','30 days','Email',0.06,15339,4.61,'Los Angeles','Mandarin',998,8871,4,'Health & Wellness','2021-11-03',0.405737704918033,25.1856060606061)"
1038,TechCorp,Search,Men 18-24,45 days,Instagram,0.13,18421,7.95,Los Angeles,Spanish,343,1181,4,Health & Wellness,04-11-2021,11.25%,15.37,"(1038,'TechCorp','Search','Men 18-24','45 days','Instagram',0.13,18421,7.95,'Los Angeles','Spanish',343,1181,4,'Health & Wellness','2021-11-04',0.112501409085785,15.3697394789579)"
1039,NexGen Systems,Email,All Ages,60 days,Facebook,0.11,6121,5.58,Chicago,Mandarin,913,6420,7,Foodies,05-11-2021,29.04%,53.71,"(1039,'NexGen Systems','Email','All Ages','60 days','Facebook',0.11,6121,5.58,'Chicago','Mandarin',913,6420,7,'Foodies','2021-11-05',0.29043183742591,53.7055393586006)"
1040,Innovate Industries,Social Media,Women 35-44,45 days,Email,0.12,5650,5.47,Los Angeles,French,500,4548,8,Fashionistas,06-11-2021,14.22%,6.7,"(1040,'Innovate Industries','Social Media','Women 35-44','45 days','Email',0.12,5650,5.47,'Los Angeles','French',500,4548,8,'Fashionistas','2021-11-06',0.142211838006231,6.70427163198248)"
1041,TechCorp,Search,Women 25-34,45 days,Facebook,0.04,19324,7.98,Houston,French,886,2683,7,Outdoor Adventurers,07-11-2021,10.99%,11.3,"(1041,'TechCorp','Search','Women 25-34','45 days','Facebook',0.04,19324,7.98,'Houston','French',886,2683,7,'Outdoor Adventurers','2021-11-07',0.109938434476693,11.3)"
1042,DataTech Solutions,Influencer,Women 25-34,45 days,Website,0.01,5402,3.93,Houston,French,169,2894,5,Health & Wellness,08-11-2021,33.02%,21.81,"(1042,'DataTech Solutions','Influencer','Women 25-34','45 days','Website',0.01,5402,3.93,'Houston','French',169,2894,5,'Health & Wellness','2021-11-08',0.330227357435706,21.8103837471783)"
1043,DataTech Solutions,Display,Men 18-24,45 days,Instagram,0.07,14266,5.45,Houston,Spanish,115,3055,4,Foodies,09-11-2021,5.84%,31.96,"(1043,'DataTech Solutions','Display','Men 18-24','45 days','Instagram',0.07,14266,5.45,'Houston','Spanish',115,3055,4,'Foodies','2021-11-09',0.0583966827919834,31.9644970414201)"
1044,TechCorp,Display,Women 25-34,60 days,Instagram,0.06,11083,6.26,Los Angeles,German,708,6009,1,Fashionistas,10-11-2021,3.76%,124.05,"(1044,'TechCorp','Display','Women 25-34','60 days','Instagram',0.06,11083,6.26,'Los Angeles','German',708,6009,1,'Fashionistas','2021-11-10',0.0376432078559738,124.052173913043)"
1045,Alpha Innovations,Influencer,Men 25-34,60 days,Website,0.11,9871,5.16,Chicago,French,738,1895,8,Foodies,11-11-2021,11.78%,15.65,"(1045,'Alpha Innovations','Influencer','Men 25-34','60 days','Website',0.11,9871,5.16,'Chicago','French',738,1895,8,'Foodies','2021-11-11',0.117823265102346,15.6539548022599)"
1046,DataTech Solutions,Influencer,Women 35-44,30 days,Google Ads,0.13,5661,3.42,Los Angeles,Mandarin,913,6158,1,Foodies,12-11-2021,38.94%,13.38,"(1046,'DataTech Solutions','Influencer','Women 35-44','30 days','Google Ads',0.13,5661,3.42,'Los Angeles','Mandarin',913,6158,1,'Foodies','2021-11-12',0.389445910290237,13.3753387533875)"
1047,DataTech Solutions,Social Media,Men 25-34,60 days,Google Ads,0.03,6384,5.66,New York,French,605,3563,6,Fashionistas,13-11-2021,14.83%,6.2,"(1047,'DataTech Solutions','Social Media','Men 25-34','60 days','Google Ads',0.03,6384,5.66,'New York','French',605,3563,6,'Fashionistas','2021-11-13',0.148262422864566,6.20043811610077)"
1048,Alpha Innovations,Display,Women 25-34,15 days,Website,0.13,17513,7.32,Los Angeles,German,958,5905,1,Outdoor Adventurers,14-11-2021,16.98%,10.55,"(1048,'Alpha Innovations','Display','Women 25-34','15 days','Website',0.13,17513,7.32,'Los Angeles','German',958,5905,1,'Outdoor Adventurers','2021-11-14',0.169800729722144,10.5520661157025)"
1049,DataTech Solutions,Display,All Ages,60 days,Google Ads,0.08,14596,2.05,Houston,English,637,4212,9,Fashionistas,15-11-2021,16.22%,18.28,"(1049,'DataTech Solutions','Display','All Ages','60 days','Google Ads',0.08,14596,2.05,'Houston','English',637,4212,9,'Fashionistas','2021-11-15',0.162235393734124,18.2807933194154)"
1050,NexGen Systems,Social Media,Women 25-34,60 days,Email,0.14,16057,6.59,Houston,German,338,5101,5,Fashionistas,16-11-2021,15.12%,22.91,"(1050,'NexGen Systems','Social Media','Women 25-34','60 days','Email',0.14,16057,6.59,'Houston','German',338,5101,5,'Fashionistas','2021-11-16',0.151234567901235,22.9136577708006)"
1051,TechCorp,Search,All Ages,60 days,Google Ads,0.06,16052,4.28,Houston,Mandarin,832,6482,3,Foodies,17-11-2021,6.63%,47.51,"(1051,'TechCorp','Search','All Ages','60 days','Google Ads',0.06,16052,4.28,'Houston','Mandarin',832,6482,3,'Foodies','2021-11-17',0.0662615173495393,47.5059171597633)"
1052,Innovate Industries,Display,Men 25-34,60 days,Facebook,0.05,6649,3.08,Los Angeles,German,771,1937,1,Foodies,18-11-2021,12.84%,19.29,"(1052,'Innovate Industries','Display','Men 25-34','60 days','Facebook',0.05,6649,3.08,'Los Angeles','German',771,1937,1,'Foodies','2021-11-18',0.128355445850046,19.2932692307692)"
1053,Innovate Industries,Social Media,All Ages,60 days,YouTube,0.06,16334,2.84,Chicago,French,653,4183,8,Fashionistas,19-11-2021,39.80%,8.62,"(1053,'Innovate Industries','Social Media','All Ages','60 days','YouTube',0.06,16334,2.84,'Chicago','French',653,4183,8,'Fashionistas','2021-11-19',0.398038203407331,8.62386511024643)"
1054,NexGen Systems,Social Media,Women 25-34,60 days,Website,0.13,12462,6.2,Los Angeles,French,987,8465,2,Fashionistas,20-11-2021,15.61%,25.01,"(1054,'NexGen Systems','Social Media','Women 25-34','60 days','Website',0.13,12462,6.2,'Los Angeles','French',987,8465,2,'Fashionistas','2021-11-20',0.156108056418838,25.0137825421133)"
1055,Alpha Innovations,Email,Men 25-34,30 days,Website,0.08,13326,3.45,Miami,German,756,9149,5,Outdoor Adventurers,21-11-2021,11.66%,12.63,"(1055,'Alpha Innovations','Email','Men 25-34','30 days','Website',0.08,13326,3.45,'Miami','German',756,9149,5,'Outdoor Adventurers','2021-11-21',0.116597755463674,12.6261398176292)"
1056,Innovate Industries,Display,Men 25-34,15 days,Instagram,0.12,8902,7.37,Miami,French,273,3784,9,Tech Enthusiasts,22-11-2021,8.26%,17.63,"(1056,'Innovate Industries','Display','Men 25-34','15 days','Instagram',0.12,8902,7.37,'Miami','French',273,3784,9,'Tech Enthusiasts','2021-11-22',0.0826319816373374,17.6269841269841)"
